user_id,email,first_name,last_name,age,gender,country,state_province,city,subscription_plan,subscription_start_date,is_active,monthly_spend_hours,primary_device,household_size,created_at
user_00152,bbryant@example.org,Nicole,Moore,23.0,Male,USA,Washington,Lake Michaelland,Premium,2024-07-30,True,11.15,Smart TV,3.0,2022-09-28 19:33:24.100609
user_00153,rubendavis@example.org,Jason,Anderson,25.0,Female,USA,New York,Smithmouth,Standard,2025-07-20,True,11.84,Desktop,3.0,2024-09-01 12:49:11.234679
user_00159,amandamyers@example.net,Kyle,Blair,28.0,Female,USA,Illinois,East Christopherchester,Basic,2023-12-11,True,,Desktop,2.0,2023-07-07 23:10:46.679240
user_00163,margaret95@example.org,Harry,Finley,26.0,Female,USA,Wisconsin,Clineport,Basic,2022-11-04,True,,Mobile,1.0,2022-08-11 19:15:35.318272
user_00164,anne49@example.org,Micheal,Cuevas,21.0,Male,USA,Maryland,East Adam,Standard,2022-08-28,True,2.92,Gaming Console,2.0,2024-06-29 21:13:58.222597
user_00170,samantha10@example.org,Rachel,Lamb,23.0,Male,USA,Texas,Davidmouth,Premium,2023-02-02,True,18.12,Tablet,,2025-01-19 09:46:59.873625
user_00171,rjohnson@example.com,Michael,Hill,28.0,Female,USA,Massachusetts,North Christina,Basic,2024-07-11,True,10.45,Smart TV,2.0,2023-10-28 11:57:59.864437
user_00173,bnelson@example.com,Anthony,Brown,30.0,Prefer not to say,USA,Arizona,Katiebury,Standard,2022-11-19,True,4.57,Gaming Console,2.0,2023-05-22 02:37:38.628505
user_00180,franciscojones@example.org,Andrew,Lynn,22.0,Male,Canada,British Columbia,Georgefurt,Basic,2024-10-12,True,19.68,Mobile,1.0,2023-08-08 08:52:24.104474
user_00182,farmstrong@example.org,Michael,Miller,26.0,Female,USA,Maryland,North Anthony,Basic,2024-07-01,True,9.86,Laptop,1.0,2024-01-03 23:18:44.046315
user_00183,kristen77@example.net,Christopher,Lopez,22.0,Male,USA,Indiana,Jacobton,Premium,2023-11-26,False,1.59,Desktop,3.0,2023-04-07 23:14:55.732754
user_00184,hernandezheather@example.org,Elizabeth,Arellano,19.0,Female,USA,Indiana,Port Paulhaven,Premium,2025-06-25,True,25.16,Mobile,3.0,2024-04-21 14:31:13.018630
user_00189,dennismccann@example.com,Joseph,Jacobs,21.0,Male,USA,Arizona,South Jason,Premium,2024-10-22,True,,Mobile,4.0,2025-01-18 16:12:59.309980
user_00195,ldoyle@example.net,Matthew,Parks,23.0,Female,USA,Massachusetts,Williamburgh,Premium,2023-06-19,True,43.11,Gaming Console,4.0,2022-12-21 06:16:30.317406
user_00196,staceylam@example.net,Jeffrey,Garner,20.0,Male,Canada,Prince Edward Island,Frenchmouth,Standard,2023-05-14,True,17.27,Gaming Console,3.0,2023-12-24 05:20:07.132746
user_00197,obrown@example.net,Thomas,Mason,30.0,Male,USA,Washington,Robertberg,Standard,2025-07-24,True,,Desktop,4.0,2023-10-25 10:19:29.243926
user_00203,cindy26@example.org,Justin,Jimenez,23.0,Female,USA,California,Marieborough,Premium,2024-09-10,True,13.98,Smart TV,3.0,2023-01-25 19:04:53.940084
user_00204,haleycastillo@example.org,Alexander,Meadows,20.0,Other,USA,Texas,North Kimberly,Premium,2024-10-03,True,12.74,Tablet,3.0,2025-04-20 10:55:44.473281
user_00210,andreagray@example.org,Stephen,Miller,30.0,Male,Canada,Ontario,Stewartfort,Premium,2022-11-22,True,14.28,Gaming Console,3.0,2022-09-11 07:58:28.493740
user_00212,jennifer11@example.net,Aaron,Gallegos,21.0,Male,Canada,Prince Edward Island,Jacquelineton,Premium,2024-01-23,True,10.87,Mobile,,2022-11-28 06:29:19.975526
user_00216,jasonklein@example.net,Samantha,Zavala,29.0,Male,USA,Massachusetts,Jenniferstad,Basic,2024-05-01,True,16.65,Laptop,,2024-08-10 20:27:43.018639
user_00220,shane12@example.org,Nicholas,Ramirez,24.0,Female,USA,Tennessee,East Brandy,Premium+,2022-08-08,True,24.08,Gaming Console,4.0,2024-09-18 16:35:25.297639
user_00228,jackjensen@example.com,Danny,York,19.0,Prefer not to say,USA,Michigan,West Emilyview,Standard,2023-03-06,True,18.57,Smart TV,3.0,2025-06-10 16:36:12.853906
user_00229,emilyyoung@example.com,Rachel,Tucker,20.0,Male,USA,Arizona,Heatherberg,Premium,2025-01-03,True,10.38,Gaming Console,2.0,2023-02-03 20:27:09.574487
user_00231,michele28@example.org,Jessica,Luna,25.0,Prefer not to say,USA,Arizona,Port Bonniefurt,Basic,2025-04-21,True,3.57,Desktop,4.0,2024-03-20 13:27:25.936948
user_00236,jennifer77@example.com,Brittany,Johnson,26.0,Female,USA,New Jersey,New Brittany,Premium,2024-06-21,True,15.05,Smart TV,1.0,2025-04-05 03:14:52.843893
user_00237,jacksonsandra@example.net,Carol,Johns,23.0,Male,USA,New Jersey,East Shanefort,Premium,2023-02-04,True,26.57,Mobile,2.0,2024-05-22 10:06:58.067761
user_00238,gary57@example.net,Jerry,Anderson,27.0,Other,USA,Virginia,New Michele,Standard,2025-01-23,True,1.94,Laptop,2.0,2023-02-13 11:24:47.093136
user_00241,jcox@example.com,Jose,Cunningham,21.0,Female,USA,Illinois,Fischerchester,Premium,2023-02-13,True,9.01,Tablet,1.0,2023-05-08 03:21:14.479810
user_00247,bmosley@example.com,Jonathan,Schultz,21.0,Female,USA,Pennsylvania,Port Leslie,Standard,2024-02-19,True,16.27,Desktop,,2024-09-08 23:18:50.118067
user_00255,michael87@example.net,Pamela,Austin,24.0,,USA,Florida,Port Gary,Premium,2023-11-07,True,7.22,Laptop,4.0,2025-02-18 05:28:24.650808
user_00262,justin84@example.com,Melissa,Taylor,27.0,Female,USA,Virginia,Williamsonview,Basic,2023-02-23,True,22.5,Mobile,1.0,2023-01-16 18:48:18.362517
user_00265,cwise@example.org,James,Boyd,30.0,Female,USA,Ohio,Priceport,Premium,2023-01-22,True,34.66,Tablet,,2024-10-27 01:55:22.767218
user_00269,llopez@example.net,Mario,Hill,21.0,Female,Canada,Prince Edward Island,New Ericport,Premium,2024-03-17,True,28.47,Tablet,,2022-08-03 20:37:18.335049
user_00274,mirandabarbara@example.net,Jacqueline,Andrade,21.0,Prefer not to say,USA,Michigan,New Richard,Standard,2024-07-22,False,5.79,Tablet,2.0,2025-05-21 22:43:41.687120
user_00277,jonathanevans@example.net,Ashley,Navarro,19.0,Female,USA,Maryland,Thompsonshire,Premium,2024-05-15,False,15.41,Desktop,1.0,2022-09-13 00:27:48.783495
user_00278,deleonsandra@example.com,Nichole,Butler,30.0,Prefer not to say,Canada,Quebec,Lake Denise,Basic,2024-06-26,False,20.38,Tablet,7.0,2022-10-01 09:06:36.168369
user_00280,zbaker@example.net,Kim,Gill,25.0,Prefer not to say,Canada,Quebec,South Randall,Premium+,2024-04-08,True,37.28,Gaming Console,4.0,2023-04-25 13:55:12.135288
user_00282,scottglass@example.org,Gina,Todd,29.0,Female,USA,Michigan,Lake Brianberg,Premium,2022-08-17,True,18.78,Desktop,2.0,2023-07-03 09:28:01.263183
user_00287,shane23@example.net,Bianca,Huffman,18.0,Male,USA,New York,South Wendy,Standard,2024-07-21,True,,Gaming Console,1.0,2023-07-16 22:58:44.319618
user_00290,kwells@example.org,Antonio,Schaefer,26.0,Male,USA,Illinois,Lake Emily,Standard,2024-11-09,True,5.31,Laptop,2.0,2023-02-13 02:22:02.198916
user_00301,jonathan14@example.com,Katie,Jennings,29.0,Female,Canada,Manitoba,Ramseytown,Standard,2023-03-02,True,2.33,Laptop,7.0,2025-05-09 15:08:29.210581
user_00302,probles@example.org,Eric,Mcclain,21.0,Male,Canada,Nova Scotia,Bowerschester,Premium,2025-02-02,True,19.47,Mobile,6.0,2024-04-13 02:08:49.331275
user_00304,jennifer46@example.org,Natalie,Hayes,22.0,Male,USA,Indiana,New Kevin,Standard,2023-09-16,True,2.48,Laptop,3.0,2024-12-02 07:27:50.139995
user_00305,zhunter@example.com,James,Oconnor,21.0,Other,USA,New Jersey,Douglasville,Basic,2023-03-14,True,17.22,Tablet,3.0,2023-12-19 09:49:54.981461
user_00306,collinsbradley@example.net,Mathew,Garcia,24.0,Female,USA,Texas,New Katherineborough,Standard,2023-03-09,True,34.71,Tablet,2.0,2023-06-02 04:49:21.368810
user_00309,lisa81@example.com,Christopher,Davis,25.0,Female,USA,Maryland,Ruizbury,Basic,2025-03-02,True,29.46,Laptop,2.0,2025-04-29 07:28:10.557980
user_00311,nguyendebra@example.com,Richard,Allen,24.0,Male,USA,Arizona,South Patrick,Standard,2023-03-18,True,,Tablet,3.0,2024-12-09 11:00:59.303657
user_00315,callahanmichelle@example.org,Jacqueline,Garrett,29.0,Male,USA,Massachusetts,Jamesside,Standard,2024-07-28,True,2.12,Gaming Console,1.0,2023-01-02 10:49:30.441040
user_00316,mary24@example.net,Dennis,Wong,29.0,Female,USA,California,Barrettberg,Standard,2022-12-30,True,34.49,Desktop,4.0,2025-03-02 13:22:12.895579
user_00322,caitlinunderwood@example.com,Kaylee,Guerrero,26.0,Male,Canada,Prince Edward Island,New Jessica,Standard,2022-09-30,True,10.58,Gaming Console,2.0,2024-11-07 20:51:52.930891
user_00325,erica25@example.net,Emily,Smith,29.0,Female,USA,Indiana,Lake Seanbury,Standard,2023-05-05,True,3.98,Smart TV,3.0,2022-08-29 00:57:00.695074
user_00329,kimberly07@example.org,Sarah,Adams,28.0,Male,Canada,Alberta,Andrewshaven,Premium,2024-01-08,True,15.64,Tablet,1.0,2025-02-12 21:53:20.941473
user_00330,aaronfinley@example.com,Ashley,Cook,20.0,Male,USA,Florida,Brownland,Standard,2024-03-09,True,3.18,Mobile,2.0,2022-10-30 05:29:12.540136
user_00334,lcarr@example.org,Danny,Brown,26.0,Female,USA,Michigan,Rogersfurt,Standard,2022-12-12,True,2.35,Desktop,2.0,2023-07-21 10:37:53.391071
user_00343,cbaird@example.com,Ronald,Mendoza,25.0,Male,Canada,Quebec,Simpsonland,Premium,2024-08-30,False,36.25,Laptop,,2025-06-08 22:22:11.482974
user_00351,michaelbryant@example.org,Jennifer,White,25.0,Female,Canada,British Columbia,East John,Premium,2025-07-26,True,12.37,Mobile,,2023-11-29 03:51:51.041043
user_00352,jamiemann@example.net,Tiffany,Watson,20.0,Prefer not to say,USA,Wisconsin,Davidtown,Premium,2025-05-18,False,,Gaming Console,3.0,2025-06-06 13:57:58.887164
user_00353,adamrodgers@example.net,Deborah,Wells,29.0,Male,USA,Michigan,Port Annette,Standard,2023-08-08,True,9.79,Gaming Console,2.0,2024-10-12 17:50:52.330837
user_00357,jaredwells@example.net,Carl,Davis,29.0,Female,USA,Missouri,Robertside,Basic,2024-09-18,True,17.57,Gaming Console,5.0,2023-03-09 09:37:26.789009
user_00358,angela04@example.net,Troy,Walker,26.0,Male,Canada,Ontario,West Kevin,Premium,2022-12-16,True,51.88,Smart TV,4.0,2023-11-03 03:46:50.389168
user_00362,mariepope@example.net,Robert,Wilson,26.0,Female,USA,Washington,South Michaelstad,Basic,2025-01-13,True,6.18,Tablet,1.0,2023-02-07 18:16:19.620572
user_00364,danielmcguire@example.net,Taylor,Williams,28.0,Female,USA,Maryland,Port Colinville,Premium,2024-05-07,False,,Desktop,1.0,2023-02-21 12:57:05.767452
user_00365,davismeghan@example.com,Michael,Wagner,26.0,Male,USA,California,Port Belindatown,Standard,2024-09-24,True,21.85,Tablet,,2023-02-07 06:52:01.447890
user_00370,jdixon@example.com,David,Crawford,29.0,Other,USA,Tennessee,North Joanland,Basic,2024-08-14,True,4.61,Laptop,2.0,2023-09-26 07:53:56.066025
user_00374,bryan90@example.org,Michael,Hubbard,22.0,Male,USA,California,Davisstad,Premium,2023-10-27,False,18.1,Smart TV,,2024-07-27 14:30:20.889156
user_00375,deborahwatkins@example.net,Misty,Morgan,27.0,Male,USA,New Jersey,Benjaminchester,Premium,2023-05-21,True,44.37,Mobile,3.0,2024-05-08 08:12:35.046661
user_00382,dawnwilliams@example.net,Kimberly,Heath,26.0,Prefer not to say,USA,Maryland,Carolynland,Premium,2025-04-10,True,11.99,Tablet,,2023-10-11 22:57:08.992487
user_00383,danielnavarro@example.org,Tyler,Young,27.0,Male,USA,Florida,Markshire,Standard,2025-01-01,True,29.24,Desktop,2.0,2025-05-24 02:48:00.668085
user_00391,julie62@example.com,Carol,Acosta,19.0,Male,USA,Massachusetts,Whiteberg,Standard,2023-06-16,False,9.17,Smart TV,4.0,2023-04-18 02:19:25.137510
user_00393,cookjimmy@example.com,Adam,Turner,24.0,Male,Canada,Nova Scotia,Davidside,Standard,2024-04-29,False,11.94,Tablet,2.0,2023-02-05 04:43:08.753522
user_00402,solomontim@example.org,Gabrielle,Skinner,23.0,Male,USA,Texas,Ashleyside,Standard,2025-05-03,True,13.43,Desktop,2.0,2024-02-13 14:26:23.687504
user_00404,brenda77@example.net,Matthew,Clark,27.0,Male,USA,Missouri,Monicaville,Premium+,2024-03-09,True,9.18,Smart TV,6.0,2023-10-09 19:22:41.062280
user_00407,cruiz@example.net,James,Williams,27.0,Male,USA,Virginia,Lake Melaniechester,Standard,2025-02-17,True,11.51,Laptop,4.0,2022-09-12 15:08:39.438911
user_00417,pam63@example.com,Benjamin,Price,23.0,Female,Canada,British Columbia,Jasonhaven,Premium,2024-02-24,True,9.13,Gaming Console,2.0,2022-08-28 17:37:13.208622
user_00420,thomasgriffin@example.com,Brianna,Wiggins,28.0,,USA,California,Barajasfort,Standard,2025-01-20,True,26.73,Tablet,5.0,2024-02-08 06:29:07.492196
user_00425,leechristine@example.net,Susan,Christensen,21.0,Male,USA,Michigan,Lake Sharonburgh,Standard,2023-05-30,True,9.6,Laptop,1.0,2023-04-28 20:03:54.377558
user_00428,nicholas10@example.org,Karen,Vasquez,30.0,Other,USA,Ohio,West Brucemouth,Premium,2022-10-12,True,53.24,Mobile,,2023-10-23 13:40:13.833767
user_00429,adamstabitha@example.net,John,Torres,30.0,Male,USA,California,Millerhaven,Premium+,2024-12-07,True,,Tablet,3.0,2023-09-16 02:36:14.868264
user_00435,gonzalezlori@example.com,Molly,Jackson,18.0,Female,USA,Massachusetts,North Brianna,Standard,2022-12-19,False,6.47,Tablet,1.0,2025-03-25 09:40:38.076812
user_00436,melaniejohnson@example.net,Erin,Smith,28.0,Female,USA,Tennessee,Port Sheilachester,Premium,2023-05-29,True,15.23,Smart TV,2.0,2024-01-28 01:57:33.390858
user_00437,brandonhull@example.net,Leslie,Lee,19.0,Male,USA,Georgia,Lake Jeremiahchester,Basic,2025-05-03,True,2.56,Tablet,3.0,2023-01-30 07:06:36.942008
user_00446,gregorysmith@example.com,Andrew,Gray,26.0,Female,USA,Missouri,Sharonport,Standard,2023-04-22,True,13.82,Desktop,3.0,2024-07-27 05:47:37.538278
user_00449,marcbrooks@example.net,Jennifer,Wells,28.0,,USA,Missouri,East Jeffreyborough,Premium,2025-03-05,True,25.88,Desktop,2.0,2023-03-30 14:06:45.541225
user_00458,ryan72@example.net,Briana,Hill,23.0,Other,USA,Massachusetts,South Caleb,Premium,2024-05-25,True,7.84,Gaming Console,1.0,2024-03-01 06:17:16.688002
user_00460,longsonya@example.org,Joshua,Estrada,28.0,Female,USA,Washington,South Robert,Premium,2025-07-27,True,18.47,Desktop,2.0,2024-11-07 18:34:30.435503
user_00461,qhayes@example.org,Steven,Fowler,25.0,,USA,Arizona,Cooperfurt,Standard,2023-10-10,True,26.39,Gaming Console,2.0,2023-05-04 15:56:28.874497
user_00462,ellen77@example.com,Christopher,Reeves,28.0,Female,USA,Ohio,South Lori,Premium,2023-02-04,False,,Smart TV,3.0,2024-05-29 03:50:24.985703
user_00463,david62@example.org,Erica,Alexander,30.0,Female,USA,New York,Lake Austin,Premium,2023-11-29,True,12.71,Tablet,4.0,2025-02-04 15:23:49.025070
user_00465,erinbrown@example.org,Jennifer,Perry,23.0,,USA,Tennessee,Marcusborough,Premium,2025-05-22,True,33.78,Gaming Console,2.0,2025-05-27 20:49:09.290294
user_00466,jasonkelly@example.org,Richard,Smith,30.0,Female,USA,Massachusetts,Robinsonview,Premium,2022-09-19,False,,Desktop,1.0,2023-10-27 12:25:14.962123
user_00469,james63@example.net,John,Stevenson,30.0,Male,Canada,Ontario,West Lonnie,Premium+,2024-02-23,True,7.45,Smart TV,,2024-07-13 03:33:01.855945
user_00470,perezjessica@example.com,Jamie,Knox,25.0,,USA,Wisconsin,New Monique,Basic,2023-02-19,True,63.65,Gaming Console,4.0,2022-10-12 20:56:25.502229
user_00472,kevinray@example.net,Joseph,Miller,28.0,Male,USA,California,Grayfort,Premium+,2023-11-08,True,17.03,Mobile,,2024-11-13 04:09:27.193149
user_00479,nbradley@example.org,Brian,Lamb,27.0,Male,Canada,Ontario,Tonyachester,Standard,2024-06-19,True,6.09,Tablet,4.0,2025-03-11 13:15:02.393921
user_00481,vkennedy@example.net,Matthew,Key,30.0,Male,USA,California,Elizabethfurt,Standard,2025-07-05,False,12.1,Mobile,1.0,2025-01-02 12:24:20.033406
user_00491,scottolson@example.org,Jeffery,Moss,28.0,Male,Canada,Ontario,Jessicashire,Premium,2024-08-14,True,2.2,Laptop,4.0,2023-09-19 16:05:07.210731
user_00493,denisebennett@example.net,Kimberly,Hill,21.0,Female,USA,Illinois,Alexanderville,Standard,2022-12-13,True,19.03,Mobile,1.0,2022-08-28 07:14:00.283224
user_00500,suttonrichard@example.com,Michael,Strickland,28.0,Male,USA,Michigan,West Alejandro,Standard,2025-07-10,True,17.45,Desktop,4.0,2023-09-21 22:41:35.462269
user_00505,kleinjacqueline@example.net,John,Lawson,26.0,Male,USA,California,East Charles,Premium,2024-02-15,True,12.07,Gaming Console,4.0,2023-11-09 06:08:17.115056
user_00506,nathanielwilson@example.net,Marie,Roberts,23.0,Male,USA,Michigan,Josephtown,Basic,2023-03-28,True,15.49,Smart TV,4.0,2025-05-17 02:43:54.911557
user_00509,mayodiana@example.com,Donald,Smith,24.0,Male,Canada,Saskatchewan,East Justinberg,Standard,2023-11-06,True,11.38,Tablet,2.0,2025-04-16 07:29:02.108762
user_00510,stacymoyer@example.com,Robert,Marsh,24.0,Male,Canada,Prince Edward Island,Karenfurt,Premium+,2022-12-24,True,13.69,Mobile,1.0,2024-12-18 15:53:12.506875
user_00512,johnwang@example.com,Elizabeth,Gonzalez,23.0,,USA,Arizona,East Victoria,Premium,2023-04-10,True,,Laptop,4.0,2023-10-16 18:20:52.237150
user_00516,williamstanya@example.net,James,Schaefer,20.0,Female,Canada,Alberta,Kevinfort,Premium+,2024-03-08,False,20.05,Gaming Console,2.0,2022-09-20 01:48:18.531375
user_00517,qpierce@example.net,Patricia,Soto,23.0,Male,USA,Missouri,Joneschester,Premium,2023-01-31,True,2.32,Tablet,6.0,2024-09-04 11:10:15.492765
user_00519,jackmoore@example.org,Natasha,Gordon,30.0,Male,USA,California,Melissaport,Basic,2024-03-29,True,5.22,Mobile,3.0,2023-04-05 10:25:39.633035
user_00520,benjamin24@example.org,Morgan,Day,26.0,Female,USA,New York,New Darren,Basic,2024-06-25,True,38.8,Tablet,3.0,2023-07-24 16:47:11.950845
user_00522,lisawalker@example.com,Bonnie,Moore,26.0,Female,Canada,Ontario,Richardsonfort,Standard,2024-01-27,False,12.98,Gaming Console,3.0,2023-02-21 19:25:33.389528
user_00535,boydtiffany@example.org,Richard,Robinson,29.0,Female,Canada,Nova Scotia,Port Heatherfort,Standard,2024-07-17,True,15.69,Laptop,2.0,2025-01-25 12:12:49.934073
user_00537,andrealittle@example.org,Joseph,Elliott,20.0,,Canada,Quebec,North Leonardport,Premium,2025-07-11,True,12.01,Smart TV,1.0,2025-06-18 13:55:14.715348
user_00538,karen52@example.net,Mark,Shaw,29.0,Male,Canada,Quebec,New Laurafort,Premium,2023-06-15,True,14.63,Smart TV,2.0,2024-08-19 18:16:18.776403
user_00540,jasonbishop@example.org,Ashley,Davis,27.0,Female,USA,Illinois,Port Monica,Standard,2024-01-30,True,30.08,Laptop,1.0,2023-07-12 19:38:26.599844
user_00542,nortiz@example.net,Scott,Brooks,20.0,Male,USA,New York,Bakerton,Basic,2024-10-22,True,13.8,Laptop,4.0,2024-09-07 19:05:24.728813
user_00545,huertakim@example.org,Kristine,Lewis,21.0,Female,Canada,British Columbia,Port Gabrielaview,Standard,2024-06-28,True,15.17,Mobile,2.0,2023-01-05 09:00:47.881827
